Year,Month,Payment_Mode,Volume_Lakhs,Value_Crores,Banks_Live,Num_Transactions_Daily_Avg,Market_Share_Pct,YoY_Growth_Volume_Pct,Avg_Ticket_Size_Rs,Success_Rate_Pct,Digital_Payment_Index,Quarter
2016,4,UPI,0.09,1.6,21,300,0.01,0.0,1781.06,93.2,100.84,Q1 FY2016-17
2016,4,IMPS,48.2,2653.89,21,160667,5.76,0.0,5506.0,96.91,100.84,Q1 FY2016-17
2016,4,NEFT,143.36,358383.97,21,477867,17.13,0.0,249988.82,99.76,100.84,Q1 FY2016-17
2016,4,RTGS,93.41,5137561.56,21,311367,11.16,0.0,5500012.38,98.32,100.84,Q1 FY2016-17
2016,4,NACH,185.09,5945.52,21,616967,22.12,0.0,3212.23,92.94,100.84,Q1 FY2016-17
2016,4,AePS,5.31,148.34,21,17700,0.63,0.0,2793.61,87.04,100.84,Q1 FY2016-17
2016,4,Debit_Card,233.48,3778.38,21,778267,27.9,0.0,1618.29,94.68,100.84,Q1 FY2016-17
2016,4,Credit_Card,98.75,4123.37,21,329167,11.8,0.0,4175.56,94.84,100.84,Q1 FY2016-17
2016,4,PPI,27.74,255.44,21,92467,3.31,0.0,920.85,93.61,100.84,Q1 FY2016-17
2016,4,NETC,0.48,0.63,21,1600,0.06,0.0,132.29,92.05,100.84,Q1 FY2016-17
2016,4,BBPS,1.0,18.02,21,3333,0.12,0.0,1802.17,96.41,100.84,Q1 FY2016-17
2016,5,UPI,0.11,1.96,23,367,0.01,0.0,1778.64,93.49,99.27,Q1 FY2016-17
2016,5,IMPS,53.95,2973.15,23,179833,6.29,0.0,5510.93,96.3,99.27,Q1 FY2016-17
2016,5,NEFT,155.14,388229.8,23,517133,18.09,0.0,250244.81,98.45,99.27,Q1 FY2016-17
2016,5,RTGS,95.97,5283619.41,23,319900,11.19,0.0,5505490.68,99.9,99.27,Q1 FY2016-17
2016,5,NACH,185.51,5953.24,23,618367,21.63,0.0,3209.12,92.65,99.27,Q1 FY2016-17
2016,5,AePS,5.32,148.41,23,17733,0.62,0.0,2789.65,89.07,99.27,Q1 FY2016-17
2016,5,Debit_Card,232.99,3700.21,23,776633,27.17,0.0,1588.14,94.85,99.27,Q1 FY2016-17
2016,5,Credit_Card,97.37,4126.32,23,324567,11.36,0.0,4237.77,96.76,99.27,Q1 FY2016-17
2016,5,PPI,29.63,268.22,23,98767,3.46,0.0,905.22,93.92,99.27,Q1 FY2016-17
2016,5,NETC,0.49,0.66,23,1633,0.06,0.0,133.83,92.24,99.27,Q1 FY2016-17
2016,5,BBPS,1.01,18.05,23,3367,0.12,0.0,1787.34,93.13,99.27,Q1 FY2016-17
2016,6,UPI,0.11,1.97,25,367,0.01,0.0,1791.67,93.46,98.89,Q1 FY2016-17
2016,6,IMPS,50.1,2762.71,25,167000,5.63,0.0,5514.39,98.18,98.89,Q1 FY2016-17
2016,6,NEFT,165.48,414521.16,25,551600,18.58,0.0,250496.23,98.51,98.89,Q1 FY2016-17
2016,6,RTGS,96.95,5342939.13,25,323167,10.89,0.0,5511025.4,99.9,98.89,Q1 FY2016-17
2016,6,NACH,181.01,5774.29,25,603367,20.32,0.0,3190.04,90.7,98.89,Q1 FY2016-17
2016,6,AePS,5.44,151.78,25,18133,0.61,0.0,2789.99,88.74,98.89,Q1 FY2016-17
2016,6,Debit_Card,248.29,4009.59,25,827633,27.88,0.0,1614.88,95.02,98.89,Q1 FY2016-17
2016,6,Credit_Card,110.51,4631.07,25,368367,12.41,0.0,4190.63,95.88,98.89,Q1 FY2016-17
2016,6,PPI,31.13,290.56,25,103767,3.5,0.0,933.37,93.39,98.89,Q1 FY2016-17
2016,6,NETC,0.54,0.75,25,1800,0.06,0.0,139.08,92.55,98.89,Q1 FY2016-17
2016,6,BBPS,1.06,18.85,25,3533,0.12,0.0,1777.9,95.56,98.89,Q1 FY2016-17
2016,7,UPI,0.12,2.16,27,400,0.01,0.0,1800.35,95.61,101.09,Q2 FY2016-17
2016,7,IMPS,51.84,2855.58,27,172800,5.71,0.0,5508.45,97.3,101.09,Q2 FY2016-17
2016,7,NEFT,160.39,402186.12,27,534633,17.65,0.0,250755.11,98.29,101.09,Q2 FY2016-17
2016,7,RTGS,86.45,4769037.6,27,288167,9.51,0.0,5516527.01,99.9,101.09,Q2 FY2016-17
2016,7,NACH,187.91,6052.11,27,626367,20.68,0.0,3220.75,92.42,101.09,Q2 FY2016-17
2016,7,AePS,5.42,151.13,27,18067,0.6,0.0,2788.43,87.69,101.09,Q2 FY2016-17
2016,7,Debit_Card,272.2,4315.95,27,907333,29.96,0.0,1585.58,96.81,101.09,Q2 FY2016-17
2016,7,Credit_Card,111.84,4750.93,27,372800,12.31,0.0,4247.97,97.47,101.09,Q2 FY2016-17
2016,7,PPI,30.81,275.4,27,102700,3.39,0.0,893.86,91.76,101.09,Q2 FY2016-17
2016,7,NETC,0.59,0.8,27,1967,0.06,0.0,135.48,92.87,101.09,Q2 FY2016-17
2016,7,BBPS,1.1,19.65,27,3667,0.12,0.0,1785.96,94.76,101.09,Q2 FY2016-17
2016,8,UPI,0.13,2.3,29,433,0.01,0.0,1766.54,93.67,97.42,Q2 FY2016-17
2016,8,IMPS,57.54,3188.77,29,191800,6.33,0.0,5541.84,97.35,97.42,Q2 FY2016-17
2016,8,NEFT,149.74,375845.95,29,499133,16.46,0.0,250999.03,99.59,97.42,Q2 FY2016-17
2016,8,RTGS,92.55,5110627.53,29,308500,10.17,0.0,5522017.86,99.17,97.42,Q2 FY2016-17
2016,8,NACH,194.85,6247.55,29,649500,21.42,0.0,3206.34,92.64,97.42,Q2 FY2016-17
2016,8,AePS,5.42,151.78,29,18067,0.6,0.0,2800.42,87.35,97.42,Q2 FY2016-17
2016,8,Debit_Card,270.24,4294.79,29,900800,29.71,0.0,1589.25,95.79,97.42,Q2 FY2016-17
2016,8,Credit_Card,106.08,4473.86,29,353600,11.66,0.0,4217.44,97.75,97.42,Q2 FY2016-17
2016,8,PPI,31.22,289.97,29,104067,3.43,0.0,928.8,91.83,97.42,Q2 FY2016-17
2016,8,NETC,0.62,0.68,29,2067,0.07,0.0,110.0,91.92,97.42,Q2 FY2016-17
2016,8,BBPS,1.26,22.65,29,4200,0.14,0.0,1797.3,93.54,97.42,Q2 FY2016-17
2016,9,UPI,0.14,2.51,31,467,0.02,0.0,1792.53,92.94,102.61,Q2 FY2016-17
2016,9,IMPS,56.32,3110.93,31,187733,6.17,0.0,5523.66,96.29,102.61,Q2 FY2016-17
2016,9,NEFT,168.95,424515.55,31,563167,18.51,0.0,251266.97,98.67,102.61,Q2 FY2016-17
2016,9,RTGS,98.27,5431916.17,31,327567,10.76,0.0,5527542.66,99.9,102.61,Q2 FY2016-17
2016,9,NACH,187.05,6009.75,31,623500,20.49,0.0,3212.91,91.57,102.61,Q2 FY2016-17
2016,9,AePS,5.42,151.98,31,18067,0.59,0.0,2804.02,89.83,102.61,Q2 FY2016-17
2016,9,Debit_Card,253.49,4070.39,31,844967,27.77,0.0,1605.74,96.61,102.61,Q2 FY2016-17
2016,9,Credit_Card,107.99,4584.38,31,359967,11.83,0.0,4245.19,94.78,102.61,Q2 FY2016-17
2016,9,PPI,33.27,312.4,31,110900,3.64,0.0,938.99,94.53,102.61,Q2 FY2016-17
2016,9,NETC,0.68,0.95,31,2267,0.07,0.0,139.36,92.84,102.61,Q2 FY2016-17
2016,9,BBPS,1.31,24.09,31,4367,0.14,0.0,1838.99,93.68,102.61,Q2 FY2016-17
2016,10,UPI,0.15,2.66,60,500,0.01,0.0,1770.07,95.13,99.91,Q3 FY2016-17
2016,10,IMPS,61.63,3401.53,60,205433,6.07,0.0,5519.27,96.16,99.91,Q3 FY2016-17
2016,10,NEFT,164.63,414081.49,60,548767,16.22,0.0,251522.5,99.85,99.91,Q3 FY2016-17
2016,10,RTGS,99.99,5532530.99,60,333300,9.85,0.0,5533084.3,99.9,99.91,Q3 FY2016-17
2016,10,NACH,233.16,7464.69,60,777200,22.98,0.0,3201.53,92.66,99.91,Q3 FY2016-17
2016,10,AePS,6.21,174.93,60,20700,0.61,0.0,2816.96,89.6,99.91,Q3 FY2016-17
2016,10,Debit_Card,290.85,4641.73,60,969500,28.66,0.0,1595.92,96.98,99.91,Q3 FY2016-17
2016,10,Credit_Card,119.34,5042.66,60,397800,11.76,0.0,4225.46,95.27,99.91,Q3 FY2016-17
2016,10,PPI,36.46,334.18,60,121533,3.59,0.0,916.56,93.98,99.91,Q3 FY2016-17
2016,10,NETC,0.8,0.88,60,2667,0.08,0.0,110.13,90.04,99.91,Q3 FY2016-17
2016,10,BBPS,1.56,28.78,60,5200,0.15,0.0,1845.13,93.98,99.91,Q3 FY2016-17
2016,11,UPI,0.17,2.98,64,567,0.02,0.0,1755.19,95.27,100.57,Q3 FY2016-17
2016,11,IMPS,61.6,3401.26,64,205333,6.11,0.0,5521.52,96.74,100.57,Q3 FY2016-17
2016,11,NEFT,177.14,445994.59,64,590467,17.58,0.0,251775.2,99.9,100.57,Q3 FY2016-17
2016,11,RTGS,100.28,5554106.7,64,334267,9.95,0.0,5538598.62,99.19,100.57,Q3 FY2016-17
2016,11,NACH,229.03,7358.92,64,763433,22.72,0.0,3213.08,93.91,100.57,Q3 FY2016-17
2016,11,AePS,6.15,174.35,64,20500,0.61,0.0,2834.89,89.72,100.57,Q3 FY2016-17
2016,11,Debit_Card,281.23,4516.58,64,937433,27.9,0.0,1606.01,94.19,100.57,Q3 FY2016-17
2016,11,Credit_Card,113.99,4877.84,64,379967,11.31,0.0,4279.18,97.1,100.57,Q3 FY2016-17
2016,11,PPI,36.07,331.62,64,120233,3.58,0.0,919.38,95.1,100.57,Q3 FY2016-17
2016,11,NETC,0.78,0.99,64,2600,0.08,0.0,127.0,89.67,100.57,Q3 FY2016-17
2016,11,BBPS,1.43,26.37,64,4767,0.14,0.0,1844.38,94.19,100.57,Q3 FY2016-17
2016,12,UPI,0.18,3.16,69,600,0.02,0.0,1756.79,95.83,100.98,Q3 FY2016-17
2016,12,IMPS,57.36,3188.07,69,191200,6.09,0.0,5558.0,95.48,100.98,Q3 FY2016-17
2016,12,NEFT,158.58,399627.88,69,528600,16.84,0.0,252003.96,98.83,100.98,Q3 FY2016-17
2016,12,RTGS,89.89,4983622.46,69,299633,9.55,0.0,5544134.45,99.9,100.98,Q3 FY2016-17
2016,12,NACH,209.38,6765.42,69,697933,22.24,0.0,3231.17,91.58,100.98,Q3 FY2016-17
2016,12,AePS,6.1,172.76,69,20333,0.65,0.0,2832.13,88.59,100.98,Q3 FY2016-17
2016,12,Debit_Card,264.54,4258.96,69,881800,28.09,0.0,1609.95,93.69,100.98,Q3 FY2016-17
2016,12,Credit_Card,119.36,5063.48,69,397867,12.68,0.0,4242.19,97.75,100.98,Q3 FY2016-17
2016,12,PPI,34.01,319.27,69,113367,3.61,0.0,938.74,93.57,100.98,Q3 FY2016-17
2016,12,NETC,0.78,1.05,69,2600,0.08,0.0,134.35,91.7,100.98,Q3 FY2016-17
2016,12,BBPS,1.42,25.67,69,4733,0.15,0.0,1807.89,93.61,100.98,Q3 FY2016-17
2017,1,UPI,0.19,3.3,73,633,0.02,0.0,1738.16,95.93,98.85,Q4 FY2016-17
2017,1,IMPS,65.4,3639.04,73,218000,6.77,0.0,5564.28,98.6,98.85,Q4 FY2016-17
2017,1,NEFT,181.41,457645.64,73,604700,18.77,0.0,252271.45,99.9,98.85,Q4 FY2016-17
2017,1,RTGS,102.86,5708400.28,73,342867,10.64,0.0,5549679.45,99.9,98.85,Q4 FY2016-17
2017,1,NACH,201.55,6494.34,73,671833,20.86,0.0,3222.2,93.94,98.85,Q4 FY2016-17
2017,1,AePS,6.26,177.62,73,20867,0.65,0.0,2837.39,89.7,98.85,Q4 FY2016-17
2017,1,Debit_Card,244.86,3983.6,73,816200,25.34,0.0,1626.89,94.61,98.85,Q4 FY2016-17
2017,1,Credit_Card,122.68,5267.2,73,408933,12.7,0.0,4293.45,95.06,98.85,Q4 FY2016-17
2017,1,PPI,38.73,363.54,73,129100,4.01,0.0,938.66,94.69,98.85,Q4 FY2016-17
2017,1,NETC,0.8,0.88,73,2667,0.08,0.0,109.98,92.54,98.85,Q4 FY2016-17
2017,1,BBPS,1.58,28.92,73,5267,0.16,0.0,1830.28,94.25,98.85,Q4 FY2016-17
2017,2,UPI,0.17,3.0,78,567,0.02,0.0,1764.29,93.1,101.77,Q4 FY2016-17
2017,2,IMPS,54.99,3065.18,78,183300,6.1,0.0,5574.06,95.82,101.77,Q4 FY2016-17
2017,2,NEFT,153.95,388769.6,78,513167,17.07,0.0,252529.78,98.83,101.77,Q4 FY2016-17
2017,2,RTGS,88.15,4896937.45,78,293833,9.78,0.0,5555232.5,99.9,101.77,Q4 FY2016-17
2017,2,NACH,211.76,6863.76,78,705867,23.49,0.0,3241.29,91.8,101.77,Q4 FY2016-17
2017,2,AePS,6.72,190.34,78,22400,0.75,0.0,2832.37,88.49,101.77,Q4 FY2016-17
2017,2,Debit_Card,235.75,3799.06,78,785833,26.15,0.0,1611.48,95.72,101.77,Q4 FY2016-17
2017,2,Credit_Card,113.68,4854.18,78,378933,12.61,0.0,4270.04,97.18,101.77,Q4 FY2016-17
2017,2,PPI,34.13,303.16,78,113767,3.79,0.0,888.26,94.94,101.77,Q4 FY2016-17
2017,2,NETC,0.86,1.06,78,2867,0.1,0.0,122.74,92.22,101.77,Q4 FY2016-17
2017,2,BBPS,1.52,28.13,78,5067,0.17,0.0,1850.84,95.55,101.77,Q4 FY2016-17
2017,3,UPI,0.2,3.45,82,667,0.02,0.0,1726.57,94.19,99.19,Q4 FY2016-17
2017,3,IMPS,71.37,3981.32,82,237900,6.82,0.0,5578.42,97.59,99.19,Q4 FY2016-17
2017,3,NEFT,182.21,460590.26,82,607367,17.42,0.0,252779.9,99.9,99.19,Q4 FY2016-17
2017,3,RTGS,101.04,5618627.72,82,336800,9.66,0.0,5560795.45,99.9,99.19,Q4 FY2016-17
